Re,Cd
8154.795793,1.058189666
11037.43606,1.111955249
13139.12339,1.152053587
15639.6749,1.168419552
17944.89619,1.168320388
20032.54407,1.18496437
22776.17236,1.193321049
31391.46676,1.19308475
60178.5805,1.184160068
76378.2042,1.200934567
100553.2012,1.200730729
111220.6945,1.200655998
142452.2833,1.200472585
174280.5081,1.200323158
192725.9634,1.133913321
221089.159,1.078792981
229306.9698,1.033736402
