Displacement,Force
0.0,0.9197872727272735
0.18181818181818166,1.3011155913978498
0.3636363636363633,1.752311638418079
0.545454545454545,2.2471599691833584
0.7272727272727266,2.7946431410291654
0.9090909090909092,3.395380564263325
1.0909090909090908,4.025271812189696
1.2727272727272725,4.707565880112601
1.4545454545454541,5.406654922692738
1.6363636363636358,6.09324442630836
1.8181818181818183,6.785023069403716
2.0,7.464715830435504
2.1818181818181817,8.13397761485826
2.3636363636363633,8.790134444444444
2.545454545454545,9.441395858585858
2.7272727272727275,10.074455141579733
2.909090909090909,10.697043695428865
3.090909090909091,11.331323871384802
3.2727272727272725,11.950499828614012
3.454545454545454,12.570082078986587
3.6363636363636367,13.209572871572874
3.8181818181818183,13.837407526881721
4.0,14.47272657228018
4.181818181818182,15.110327825714776
4.363636363636363,15.762686666666665
4.545454545454545,16.417755110426295
4.727272727272727,17.07481155624037
4.909090909090908,17.750720536457504
5.09090909090909,18.441094043887144
5.272727272727273,19.138570462824976
5.454545454545455,19.862287245404872
5.636363636363637,20.581979157145227
5.818181818181818,21.34027893370511
6.0,22.088774115733603
6.181818181818182,22.859848782911076
6.363636363636363,23.638607806026368
6.545454545454545,24.427322444786853
6.727272727272727,25.25007457804226
6.909090909090908,26.091600201653552
7.090909090909092,26.936254818524233
7.272727272727273,27.799728580722483
7.454545454545455,28.67847222992639
7.636363636363637,29.58575861897665
7.818181818181818,30.494872727272732
8.0,31.407250811504884
8.181818181818182,32.352716096982526
8.363636363636363,33.323426748633885
8.545454545454545,34.31635818181818
8.727272727272727,35.32510312965723
8.909090909090908,36.32955215716487
9.090909090909092,37.37785933088926
9.272727272727273,38.43135607772642
9.454545454545455,39.49078585858586
9.636363636363637,40.589666764418375
9.818181818181818,41.70747297165201
10.0,42.837709687034284
10.181818181818182,43.974793640643725
10.363636363636363,45.138008964218464
10.545454545454545,46.31668727272727
10.727272727272727,47.533884232152026
10.90909090909091,48.74170383702602
11.090909090909092,49.97000950888193
11.272727272727273,51.22945656151682
11.454545454545455,52.515034155409204
11.636363636363637,53.77711733730751
11.818181818181818,55.08262424242424
12.0,56.41633417822291
12.181818181818182,57.751096770988575
12.363636363636363,59.08923276836159
12.545454545454547,60.444472626262645
12.727272727272727,61.8216606060606
12.90909090909091,63.19767921868412
13.09090909090909,64.58376873737373
13.272727272727273,65.96885020544427
13.454545454545453,67.37260850822662
13.636363636363637,68.76529016954315
13.818181818181817,70.15041351537586
14.0,71.50186189766518
14.181818181818183,72.84977669022324
14.363636363636363,74.17102944444444
