0.00000000,35.00000000,-0.00000000
0.00000132,34.99082250,0.75060886
0.00000539,34.95355336,1.68613732
0.00000984,34.89893836,2.48595262
0.00001451,34.83164014,3.20711851
0.00001974,34.74927455,3.91121173
0.00002546,34.65501887,4.58439398
0.00003155,34.55199936,5.21998501
0.00003797,34.44159913,5.82269335
0.00004467,34.32494140,6.39617300
0.00005159,34.20329487,6.94191027
0.00005868,34.07789880,7.46081972
0.00006588,33.94945705,7.95536995
0.00007317,33.81880236,8.42679596
0.00008051,33.68661809,8.87643147
0.00008786,33.55347431,9.30558300
0.00009520,33.41982865,9.71555805
0.00010251,33.28608978,10.10749722
0.00010978,33.15258646,10.48251915
0.00011698,33.01961422,10.84160423
0.00011713,33.01660812,10.84947968
