0.00000000,35.00000000,-0.00000000
0.00000034,34.99696825,0.43119699
0.00000134,34.98666448,0.90375173
0.00000252,34.97090437,1.33467078
0.00000376,34.95065977,1.73776960
0.00000506,34.92634959,2.12273836
0.00000642,34.89849225,2.49150968
0.00000785,34.86760858,2.84470153
0.00000933,34.83413711,3.18321943
0.00001088,34.79844634,3.50804353
0.00001247,34.76085274,3.82008958
0.00001411,34.72163326,4.12017012
0.00001578,34.68103039,4.40901899
0.00001749,34.63925654,4.68730688
0.00001921,34.59649435,4.95566940
0.00002095,34.55290923,5.21465826
0.00002270,34.50864035,5.46481943
0.00002446,34.46381658,5.70661831
0.00002622,34.41854388,5.94052887
0.00002798,34.37292331,6.16694593
0.00002800,34.37222737,6.17030382
